Day,Interest: (Worldwide)
2018-04-21,6
2018-04-22,5
2018-04-23,4
2018-04-24,4
2018-04-25,4
2018-04-26,7
2018-04-27,8
2018-04-28,9
2018-04-29,8
2018-04-30,6
2018-05-01,6
2018-05-02,6
2018-05-03,6
2018-05-04,8
2018-05-05,9
2018-05-06,10
2018-05-07,10
2018-05-08,9
2018-05-09,11
2018-05-10,27
2018-05-11,86
2018-05-12,100
2018-05-13,84
2018-05-14,58
2018-05-15,45
2018-05-16,41
2018-05-17,38
2018-05-18,41
2018-05-19,51
